id,name,priority,website,aum,sectors,company_type,coverage_person,sample_portfolio_companies,comments,description,address,city,state,country
1,AEA Investors LP,,www.aeainvestors.com,10000000000.0,Consumer products; Industrial,PE Firm,,Traeger (Current); Barnet (Cosmetic),,,,,,
2,Audax Private Equity,,www.audaxprivateequity.com,11500000000.0,Industrial,PE Firm,,Chem Specialty Chemicals,We have experience with specialty chemicals with with they have about 5 portfolio companies,,,,,
3,CCMP Capital,,www.ccmpcapital.com,12000000000.0,Consumer products; Industrial,PE Firm,,Jetro Cash & Carry; Shoes for Crews,Are big on Consumer and industrial,,,,,
4,Clayton Dubilier & Rice,,www.cdr-inc.com,18000000000.0,Consumer products; Industrial,PE Firm,,Roofing Supply Group; US Foods; HD Supply,,,,,,
5,Crestview Partners,,www.crestview.com,20000000000.0,Industrial Products,PE Firm,,Key Safety Systems; Accuride corporation,Have industrial products focus,,,,,
6,Genstar Capital,,www.gencap.com,8500000000.0,Industrial Products,PE Firm,,Pretium Packaging; Fort Dearborn Company,,,,,,
7,Golden Gate Capital,,www.goldengatecap.com,14000000000.0,Consumer products; Industrial,PE Firm,,Eddie Bauer; Pacsun,"Mr. Thomas focuses on investments in Industrials, and basic materials sector in particular main office number",,,,,
8,Gores Group,,www.gores.com,2400000000.0,Consumer products; Industrial,PE Firm,,Sage Automotive (previously),One of their strategies on some of their case studies is addons (e.g Sage Automotive)… they might want add-ons but don’t know how to go about doing them,,,,,
9,Harvest Partners,,www.harvestpartners.com,2000000000.0,Industrial Products,PE Firm,,Associated Materials (Prior); Driven Brands (Consumer),Did addons for Associated Materials while they owned it,,,,,
10,Irving Place Capital,,www.irvingplacecapital.com,4400000000.0,Consumer products; Industrial,PE Firm,,Bendon; New York and Co; Rag and Bone,"Have both branded consumer companies and industrial companies; DR used to have a contact there ""Doug Kohn""",,,,,
11,Kelso & Company,,www.kelso.com,11200000000.0,Consumer Products; Building products,PE Firm,,Augusta Sportsware; Eagle Foods,DR says he knows Phil Berney or has heard of him; Big on branded consumer products; Looking for addons on some of their portfolio companies,,,,,
12,Kohlberg and Company,,www.kohlberg.com,7500000000.0,Industrial; Consumer Products,PE Firm,,Nelson (Neutraceutical); NBG Home Décor Products; Hoffmaster Group,,,,,,
13,KPS Capital Partners LP,,www.kpsfund.com,5200000000.0,Consumer products; Industrial,PE Firm,,Taylor Made; Winoa,,,,,,
14,Nautic Partners LLC,,www.nautic.com,13000000000.0,Industrial Products,PE Firm,,Custom Windows; Precision Engineered Products,We've had contact with them before for FS so it's going to be  warm contact; They do a lot of industrial products (e.g. Custom Windows),,,,,
15,Palladium Equity Partners,,www.palladiumequity.com,2100000000.0,Consumer products; Industrial,PE Firm,,Sahale Snacks; Kars Snacks,,,,,,
16,Platinum Equity,,www.platinumequity.com,6500000000.0,Industrial Products,PE Firm,,SCM Metal Products; International textile product,,,,,,
17,The Riverside Company,,www.riversidecompany.com,6000000000.0,Consumer Brands; Specialty Mfg and Distribution,PE Firm,,Lille Baby; Blue Electronics,"Have a full section of ""seeking addons for .. "" currently looking for Sunrise Windows (replacement windows companies",,,,,
18,Sun Capital Partners,,www.suncappart.com,9000000000.0,Consumer Brands; Industrials,PE Firm,,Trulite; Arrow Tru-Line,DR knows Marc Leder ( I think); They are big in consumer and industrial (building products),,,,,
19,Thomas H. Lee Partners,,www.thl.com,10000000000.0,Consumer & Retail,PE Firm,,Give & Go Bakery; CTI Foods,Big in consumer and retail industry; Have done some addon acquisitions previously,,,,,
20,TSG Cosumer Partners,,www.tsgconsumer.com,5000000000.0,Consumer Brands,PE Firm,,Smashbox; Beauty Bands; Elf; Cutex,they are purely consumer focussed; Seems that most of their strategy is organic growth (from case studies they have),,,,,
21,Acima Credit,,,,Consumer Retail; Consumer Services,Deal Target,,,,Rent-to-own consumer financing provider for durable consumer goods retailing,,,,
22,Jefferies,,,,,,,,,,,,,
23,Baird,,,,,,,,,,,,,
24,Array,,,,Consumer Retail; Consumer Services,Deal Target,,,,Provider of end-to-end beauty merchandising solutions,,,,
25,Barclays,,,,,,,,,,,,,
26,Electrical Components International,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Designer and manufacturer of electrical wire harnesses, control boxes and other value added components",,,,
27,SunTrust,,,,,,,,,,,,,
28,European Wax Center,,,,Consumer Retail; Retail,Deal Target,,,,Operator of over 600 waxing centers across the United States,,,,
29,Houlihan Lokey UBS,,,,,,,,,,,,,
30,Guitar Center,,,,Consumer Retail; Retail,Deal Target,,,,Leading retailer of musical instruments in the United States,,,,
31,Barclays Goldman Sachs,,,,,,,,,,,,,
32,Hearthside,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Bakery, nutrition bar, snack and customized packaging solutions provider and supplier",,,,
33,Lazard,,,,,,,,,,,,,
34,Holley Performance Products,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Designer, manufacturer and marketer of branded aftermarket products for car racing and street performance",,,,
35,Newell Industrial & Commercial Brands,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Newell announced exploration of divestiture of various consumer and industrial brands, including Waddington, Process Solutions, and Mapa",,,,
36,Nomura Bank of America,,,,,,,,,,,,,
37,OneSpaWorld,,,,Consumer Retail; Consumer Services,Deal Target,,,,"Largest global operator of spa, salon, wellness and fitness facilities onboard cruise ships; also does spa management",,,,
38,Pet Supplies Plus,,,,Consumer Retail; Retail,Deal Target,,,,Third largest U.S. pet specialty retailer,,,,
39,Wells Fargo,,,,,,,,,,,,,
40,Post Private Brands,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Manufacturer and distributor of organic and conventional private label peanut butter and other nut butters, baking nuts, granola, pasta, dried fruit and trail mixes",,,,
41,Goldman Sachs,,,,,,,,,,,,,
42,Smucker Baking & Breakfast Brands,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Smucker's portfolio of breakfast and dessert brands, including Pillsbury, Hungry Jack, White Lilly, Jim Dandy and Martha White",,,,
43,Morgan Stanley,,,,,,,,,,,,,
44,Teasdale Latin Foods,,,,Consumer Retail; Food & Beverage,Deal Target,,,,"Largest exclusive full-line supplier of high-quality value-added private label, branded and comanufactured Hispanic inspired foods in the U.S.",,,,
45,AEA,,,,,,,,,,,,,
46,ThreeSixty Group,,,,Consumer Retail; Consumer Products,Deal Target,,,,"Designer, sourcer, and seller of high-velocity hardline consumer products bundled under curated merchandise programs",,,,
47,Cypress Group,,,,,,,,,,,,,
48,US Beef,,,,Consumer Retail; Restaurants,Deal Target,,,,Largest Arby’s franchisee with 362 stores in 9 Midwest and Western states,,,,
49,UBS,,,,,,,,,,,,,
50,5-Hour Energy,,,,Consumer Retail; Food & Beverage,Deal Target,,,,Producer of liquid energy shots,,,,
51,DaVita Dialysis / American Renal Associates,,,,Healthcare; Providers,Deal Target,,,,Credit Suisse advising DaVita on possible acquisition of ARA / looking for partner to help acquire half of ARA's centers,,,,
