id,company_id,project_name,date_added,sourcing,transaction_type,ltm_revenue,ltm_ebitda,enterprise_value,estimated_equity_investment,status,portfolio_company_status,active_stage,passed_rationale,current_owner,business_description,lead_md,banker_contact_ids,investment_banks
1,21.0,,2018-01-23,Proprietary,Initial Capitalization,,57.0,,,Active,,CIM Received,,Founder,Rent-to-own consumer financing provider for durable consumer goods retailing,Jeannie Blackwood,,
2,24.0,Maple,2017-09-01,Auction,Sponsor to Sponsor,291.0,82.0,700.0,198.0,Active,,IOI Submitted,,Carlyle,Provider of end-to-end beauty merchandising solutions,Andrew Mah,332; 333; 334,22; 23
3,26.0,,2018-02-01,,,,130.0,,,Active,,New Deal,,,"Designer and manufacturer of electrical wire harnesses, control boxes and other value added components",Kripa Shah,,25
4,28.0,Beauty,2017-10-17,Auction,Other Private Buyout,,29.5,,,Active,,CIM Received,,Founders,Operator of over 600 waxing centers across the United States,Russ Barner,335,27
5,30.0,,2018-02-09,,Sponsor to Sponsor,,160.0,,,Active,,New Deal,,,Leading retailer of musical instruments in the United States,Matthew Kordonowy,,29
6,32.0,,2017-08-22,,Sponsor to Sponsor,,216.0,,,Active,,,,,"Bakery, nutrition bar, snack and customized packaging solutions provider and supplier",Hannah Wilson,,31
7,34.0,Torque,2018-02-01,Trusted Network,Sponsor to Sponsor,,72.0,,,Active,,New Deal,,Lincolnshire,"Designer, manufacturer and marketer of branded aftermarket products for car racing and street performance",Jeannie Blackwood,336,33
8,35.0,,2018-02-01,,Corporate Seller,,,,,Active,,,,,"Newell announced exploration of divestiture of various consumer and industrial brands, including Waddington, Process Solutions, and Mapa",Andrew Mah,,23
9,37.0,,2018-02-01,,Sponsor to Sponsor,,59.0,,,Active,,,,,"Largest global operator of spa, salon, wellness and fitness facilities onboard cruise ships; also does spa management",Kripa Shah,,36
10,38.0,Redford,2017-12-19,Trusted Network,Sponsor to Sponsor,,51.0,400.0,,Active,,LOI Submitted,,Irving Place Capital,Third largest U.S. pet specialty retailer,Russ Barner,337,23
11,40.0,,2018-02-01,Trusted Network,Corporate Seller,,106.9,,,Active,,,,,"Manufacturer and distributor of organic and conventional private label peanut butter and other nut butters, baking nuts, granola, pasta, dried fruit and trail mixes",Matthew Kordonowy,,39
12,42.0,,2018-02-01,,Corporate Seller,,72.0,,,Active,,,,,"Smucker's portfolio of breakfast and dessert brands, including Pillsbury, Hungry Jack, White Lilly, Jim Dandy and Martha White",Hannah Wilson,,41
13,44.0,,2017-12-01,Auction,Sponsor to Sponsor,,50.0,,,Active,,,,,"Largest exclusive full-line supplier of high-quality value-added private label, branded and comanufactured Hispanic inspired foods in the U.S.",Hannah Wilson,338,43
14,46.0,,2017-09-01,,Sponsor to Sponsor,,65.0,,,Active,,,,,"Designer, sourcer, and seller of high-velocity hardline consumer products bundled under curated merchandise programs",Hannah Wilson,,45
15,48.0,,2018-01-04,Trusted Network,Other Private Buyout,,40.0,240.0,,Active,,Management Presentation,,Founders,Largest Arby’s franchisee with 362 stores in 9 Midwest and Western states,Jeannie Blackwood,339,47
16,50.0,,2018-01-01,,Other Private Buyout,,265.0,,,Active,,,,,Producer of liquid energy shots,Andrew Mah,,49
17,51.0,,2018-01-01,,,,50.0,,,Active,,,,,Credit Suisse advising DaVita on possible acquisition of ARA / looking for partner to help acquire half of ARA's centers,Kripa Shah,,
18,53.0,Wildcat,2018-01-18,Auction,Sponsor to Sponsor,72.0,12.0,,,Passed/Dead,,,Too Small,Tyree & D'Angelo Partners,DSO,Russ Barner,340,52
19,54.0,,2017-08-12,,,,145.0,,,Active,,New Deal,,Public,Portfolio of 4 primary care / join pain drugs,Matthew Kordonowy,,
20,55.0,,2018-01-03,Proprietary,Initial Capitalization,45.0,4.5,45.0,45.0,Active,,IOI Submitted,,Founders,"Orthopedic surgery clinics in Vail, Colorado",Hannah Wilson,,
21,57.0,Buckeye,2018-01-15,Trusted Network,Initial Capitalization,16.2,3.2,90.0,,Active,,Management Presentation,,Founders,E-commerce platform for reverse logistics / Potential add-on for Bargain Hunt,Jeannie Blackwood,341; 342; 343,56
22,58.0,Alpha,2017-10-01,Trusted Network,Other Private Buyout,,11.8,160.0,,Passed/Dead,,Management Presentation,On Hold,Founders,Phillips add-on,Andrew Mah,344,27
23,59.0,,2016-10-01,,,,22.5,135.0,,Passed/Dead,,,,,CTI Foods add-on,Kripa Shah,345,52
24,61.0,,2017-10-01,Proprietary,Other Private Buyout,,,10.5,,Add On,Current Investment,,,,Phillips add-on; conducting due diligence,Russ Barner,,60
25,63.0,,2017-01-31,,,,49.0,600.0,,Passed/Dead,,IOI Submitted,Bid Rejected,Warburg Pincus,Urgent care provider in tri-state area with 68 facilities,Matthew Kordonowy,,62
26,65.0,Icon,2016-11-06,Trusted Network,Other Private Buyout,,8.9,68.0,,Portfolio Company,Current Investment,,,,Give & Go add on; marketed financing,Hannah Wilson,346,64
27,67.0,Titan,2016-10-27,Auction,Sponsor to Sponsor,,124.2,1250.0,,Passed/Dead,,IOI Submitted,Bid Rejected,Charlesbank,Manufacturer serving global medical device and aerospace & defense OEMs,Jeannie Blackwood,8,66
28,68.0,,2017-02-01,,,,53.3,480.0,,Passed/Dead,,Management Presentation,Bid Rejected,TPG,Contemplating combination with HSS that would result in 50% / 50% ownership,Andrew Mah,,22
29,70.0,,2016-10-27,,,,34.0,125.0,,Passed/Dead,,,,,CTI Foods add-on,Kripa Shah,,69
30,,Picasso,2016-09-19,Trusted Network,Other Private Buyout,,82.8,612.5,,Portfolio Company,Current Investment,,,,Furniture and mattress retailer in the Midwest with 110 stores,Russ Barner,347,71
31,73.0,,2017-02-14,,,,77.0,,,Passed/Dead,,,Risk Profile,,Divestiture from Bob Evans Farms with 524 restaurants across 18 states,Matthew Kordonowy,,62
32,75.0,,2016-04-28,Proprietary,Public to Private ,,145.0,,,Passed/Dead,,,,Public,Casual dining restaurants,Hannah Wilson,348,74
33,76.0,Byner,2017-02-20,Auction,Other Private Buyout,,19.4,160.0,,Passed/Dead,,,Other,ESOP,AVF add-on,Jeannie Blackwood,337,23
